question,answer,tags,description
Boleh saya tahu status appointment saya untuk esok?,Anda boleh semak status temujanji melalui apps Flabee Care di bahagian My Appointment atau semak e-mel pengesahan (termasuk folder Spam/Junk) untuk maklumat terkini.,general,""
Boleh dapatkan report softcopy?,"Sila isi butiran di bawah untuk semakan:
Nama:
Email:
Cawangan:
Tarikh scan:
No. telefon:
Pakej:",general,""
Macam mana saya nak lihat report di flabee apps.,"Untuk lihat report, buka apps Flabee Care
 👉 log masuk
 👉 pilih Report/Laporan
 👉 tekan View untuk buka report anda.",general,""
Saya dah cuba untuk download video tetapi tidak berjaya. Boleh bantu saya?,"Boleh bagi butiran untuk semakan
Nama
No telefon
Email
Tarikh appointment
Branch",general,""
Bagaimana saya nak dapatkan radiologist  report?,"Untuk dapatkan radiologist report, saya perlu maklumkan kepada sonographer terlebih dahulu sama ada boleh disediakan atau tidak. Caj adalah RM25 dan tempoh siap mengambil masa 7-14 hari bekerja.
Jika berminat, sila berikan nama, nombor telefon, e-mel, tarikh temujanji, branch, dan pakej untuk semakan.",general,""
Bagaimana saya nak dapatkan report rasmi/official report?,"Untuk report rasmi/official report, anda akan di caj Rm15 jika anda berminat. sila bagi maklumat anda untuk saya forward kepada sonographer.
Nama:
Date Scanning:
Branch:
No Phone:
Package of Scanning:",general,""
"Saya telah mendapat gambar dan video , tetapi saya tidak mendapat report?","Sila WhatsApp 0149137226 dan berikan butiran berikut untuk semakan:
➡️ Nama
➡️ Nombor telefon
➡️ Branch/Cawangan
➡️ Tarikh temujanji
➡️ Pakej",general,""
"Saya membuat scan 2d scan tapi saya hanya dapat gambar sahaja, mengapa tidak ada video? sebelum ini saya mendapat video .","Minta maaf puan , pakej 2d scan tidak dapat video, hanya pakej 5d sahaja akan dapat video. sekiranya sebelum ni puan pernah mendapat video, ia adalah kerana bergantung kepada sonographer.",general,""
Saya mendapat softcopy orang lain,"Minta maaf puan atas kesilapan. Sila isi butiran di bawah untuk semakan:
Nama:
Email:
Cawangan:
Tarikh scan:
No. telefon:
Pakej :",general,""
scan liver ada?,utk scan liver boleh pilih pakej HBS atau Upper abdomen,general,""
Apa perbezaan antara 4D dan 5D ?,"4D = boleh tengok bayi bergerak dalam bentuk video, tapi imej masih nampak macam model 3D warna kuning.
5D = versi lebih “upgraded”, imej lebih no realistik, jelas dan natural macam tengok baby betul",general,""
"When is the best time to do the Anatomy Screening + 5D package, as stated in the description that the best week for anatomy screening is 18 to 22 weeks and for 5D is from 28 to 33 weeks? So, what is the best week to do this package?","5D scans show different results depending on the stage of pregnancy.

At 20 weeks, your baby may look a little slimmer, but there is more room in the womb, making it easier to see the baby’s half body, limbs, and movements.

At 28 to 33 weeks, your baby will usually look chubbier and even cuter, which is perfect for facial viewing. However, because space is more limited, the scan will mainly focus on the face rather than the full body or limb movements.",general,""
harga walkin utk outlet hq & non hq sama ke charge?,"Untuk walk-in, harga di HQ dan non-HQ memang berbeza ya.

Biasanya:

HQ menawarkan harga yang lebih rendah
Outlet non-HQ pula harga sedikit lebih tinggi dan boleh berbeza mengikut lokasi

Kalau nak jimat dan dapat harga yang lebih standard, kami sangat galakkan untuk datang ke HQ 👍",general,""
Hi I wanna check if Sonobee branch does provide NIPT test?,"Hi..can click this link for 
🌷 NIPT/NICC test
🌷DNA kids
🌷Blood Test
http://www.wasap.my/60143447226 . 
Person in charge will guide you.Tq",general,""
Adakah scan gynae termasuk pemeriksaan endometrial thickness dan blood flow to endometrium?,"Untuk scan gynae, pemeriksaan endometrial thickness memang akan dilakukan sebagai sebahagian daripada penilaian standard. Namun, pemeriksaan blood flow to endometrium tidak termasuk dalam scan rutin.",General Ultrasound Queries,""
Saya pernah buat embolisation untuk angiomyolipoma (lebih kurang 9cm) 3 bulan lepas dan sekarang perlu buat follow-up ultrasound. Lesion berada berdekatan buah pinggang kiri. Scan apa yang sesuai untuk saya ambil?,"Untuk kes ini, anda boleh memilih KUB Scan (Kidney, Ureter, Bladder) kerana lokasi lesion adalah berdekatan buah pinggang kiri. Scan ini sesuai untuk menilai keadaan buah pinggang serta melihat perubahan saiz lesion selepas prosedur embolisation. Ultrasound akan membantu doktor memantau perkembangan dan memastikan rawatan berjalan dengan baik.",general,""
1. May I know what's the difference of targeted scan + 5D with 5D scan?,Target scan only for patient that scan with our sonobee before who want to follow up that particular area of organ .,general,""
hi adakah repeat scan perlu dalam masa 2 minggu?,"Hi puan 😊 Untuk repeat scan, tempoh sah biasanya dalam masa 2 minggu sahaja dari tarikh scan asal. Ini bagi memastikan pemerhatian semula masih tepat dan imej masih relevan. Jika melebihi tempoh ini, kod promosi atau diskaun akan tamat secara automatik dan harga akan kembali kepada harga pakej biasa",general,""
Saya masih tak dapat softcopy,"Sono akan upload softcopy  anda ke aplikasi Flabee Care dalam tempoh 3–5 hari bekerja. Setelah siap, anda akan menerima e-mel atau notifikasi melalui aplikasi.

Sekiranya selepas tempoh tersebut anda masih belum menerimanya, sila berikan butiran seperti berikut

Name:  
Email: 
Branch: 
Date & time scan: 
No.phone: 
Package: 
Phone model:","Ultrasound Image, Video",""
boleh dapatkan nombor customer service,"1️⃣ 014-3577226 - Kangar \Penang\Kedah\Kelantan\Perak\Terengganu

2️⃣ 018-9092933 - KL\Selangor 

3️⃣ 014-9317226 - Negeri Sembilan\Johor\Sabah/
\Sarawak\Melaka\Pahang",general,""
anatomy dan detail scan sama ke ?,"Anatomy scan biasanya dilakukan oleh sonographer, manakala detail scan pula dilakukan oleh doktor. Kedua-duanya adalah pemeriksaan ultrasound menyeluruh (biasanya 18–24 minggu kehamilan) untuk melihat organ, struktur, dan perkembangan bayi.",general,""
Boleh tahu Sonobee menyediakan servis apa?,Sonobee adalah pusat Ultrasound. Menyediakan servis scan untuk wanita hamil dan scan untuk kesihatan umum.,general,""
"Saya nak cek usia kehamilan, pakej apa yang sesuai ya?","Untuk cek usia kehamilan, pakej yang sesuai adalah 2d growth scan. Kandungan 4 minggu ke atas baru mesin boleh kenal pasti. Boleh kira dari tarikh akhir datang bulan.",general,""
Pakej 2d growth scan boleh cek jantina sekali ke?,"Ya boleh, Pakej 2d growth scan sudah termasuk memeriksa perkembangan & jantina si manja.",general,""
apakah yg akan dapat jika sy book anatomy scan +5D ?,"Jika anda membuat tempahan untuk ‘Anatomy Scan + 5D’, anda akan mendapat imbasan anatomi lengkap dengan imej 5D yang lebih jelas dan terperinci. Biasanya termasuk softcopy gambar, softcopy rakaman video, dan softcopy laporan pemeriksaan terperinci oleh pakar.",general,""
Berapakah masa imbasan yg diperlukan utk pakej 5D,Masa imbasan untuk pakej 5D biasanya mengambil masa sekitar 20 hingga 30 minit bergantung kepada keadaan janin dan keperluan pemeriksaan. Ia termasuk masa untuk mendapatkan imej terperinci dan rakaman video jika termasuk dalam pakej.,general,""
"Boleh saya tahu, doctor 
perempuan atau lelaki yang 
akan scan nanti?","Sonographer perempuan yang akan scan dan 
di Sonobee tiada Doctor",general,""
scan 2d berapa lama?,"Proses scan 2D biasanya mengambil masa lebih kurang 5–10 minit, bergantung pada keadaan dan kerjasama bayi/ibu semasa imbasan.",general,""
suami boleh teman masuk dalam bilik ultrasound?,"Ya, suami dibolehkan masuk dan menemani semasa sesi imbasan di dalam bilik imbasan.",general,""
kandungan saya 14 minggu 1 hari.bole sy membuat nt scan ?,NT Scan hanya boleh dilakukan bermula 11 minggu hingga 13 minggu 6 hari,general,""
"Jika ambil pakej 2D growth 
boleh tahu berat baby dan 
jantina baby?",Ya boleh puan.,general,""
"Di Penang ada chinese 
sonographer?","Maaf tiada chinese sonographer di semua 
cawangan penang",general,""
"Saya sekarang 12 week, 
boleh ke saya buat NT 
Scan?","Ya boleh puan, NT scan boleh dibuat seawal 
11week hingga 13 week 6 day",general,""
"Gender scan untuk cek 
jantina baby sahaja ke?","Ya Puan, gender scan hanya untuk cek jantina 
baby sahaja",general,""
"Untuk sah kan kehamilan, 
pakej mana perlu saya 
ambil?",Puan boleh ambil pakej 2D Growth Scan,general,""
"Jika tersalah scan jantina, 
ada apa-apa jaminan tak?","Maaf tiada jaminan untuk gender scan, ianya 
bergantung pada kerjasama dan posisi baby",general,""
"Boleh saya tahu anatomy 
scan ni apa?","Anatomy scan ialah full detail scan, boleh 
check kecacatan baby termasuk kira jari 
tangan dan kaki, tulang , organ dalaman, otak, 
muka,jantina,sumbing dan jantung.",general,""
"Untuk 2d growth scan, saya 
perlu puasa ke?","Tidak perlu puasa puan, tapi disarankan 
bladder full semasa scan.",general,""
"Di Sonobee ada buat buka 
buku pink?","Tiada perkhidmatan buka buku pink di 
sonobee.",general,""
"Saya nak cek batu karang, 
pakej apa perlu saya ambil?",Anda boleh ambil pakej KUB ultrasound,general,""
"Boleh saya dapatkan 
contact no sonobee 
Selangor?","http://www.wasap.my/60189092933
Person incharge will guide you.",general,""
"Untuk HBS scan, perlu 
puasa ke?","Ya perlu puasa, 6jam sebelum scan kecuali 
boleh minum air dan pastikan pundi kencing 
penuh sebelum scan.",general,""
Sonobee ada X-Ray?,"Maaf, tiada perkhidmatan X-Ray buat 
sementara waktu.",general,""
Ada buat CT scan disini?,"Maaf, tiada perkhidmatan CT scan di sonobee.",Recommendation,""
"Sonobee boleh guna panel 
AIA?",Sonobee tidak boleh menggunakan panel,general,""
"Suami dan anak boleh 
masuk semasa scan?","Ya, suami dan anak-anak boleh masuk dalam 
bilik semasa scan.",general,""
"Saya sakit di bahagian 
ankle, ada ke scan yang 
boleh dibuat di sini?","Untuk bahagian ankle, anda boleh ambil MSK
Ultrasound",general,""
"Saya sekarang sudah 22 
minggu, boleh ke saya buat 
detail scan?","Boleh puan, Anatomy scan (detail scan) boleh 
dibuat seawal 18week-29week 6days.",general,""
"Saya nak cek fibroid, oleh 
ke?","Boleh puan, puan boleh ambil pakej 
Transviginal Scan atau 
Uterus+ovaries+bladder",general,""
"16week dah boleh scan 
jantina baby ke?","Boleh, jantina boleh dibuat seawal 15minggu, 
tetapi bergantung pada kerjasama dari baby 
dan posisi baby.",general,""
"Ada cas ke jika nak print 
gambar 5D?","Ya, ada cas tambahan RM5 pcs untuk gambar 
5D harga berbeza mengikut branch",general,""
Bagaimana nak book untuk anatomy scan ?,"Untuk tempahan anatomy Scan, sila buka apps Flabee Care, pilih Services, tekan anatomy Scan, pilih tarikh & cawangan, kemudian sahkan tempahan dan buat pembayaran deposit.",general,""
Bagaimana nak book untuk 5d scan ?,"Untuk tempahan 5d Scan, sila buka apps Flabee Care, pilih Services, tekan 5d Scan, pilih tarikh & cawangan, kemudian sahkan tempahan dan buat pembayarn deposit.",general,""
Macam mana nak sertai posting review?,"SHARE AND REVIEW AT SOCMED AND GOOGLE:

✅Share pengalaman/feedback scan ultrasound di fb/ig/tiktok(Salah satu saja)

✅Tag page kami SONOBEE ULTRASOUND

✅Review di GOOGLE PAGE KAMI

✅ LAST STEP: Screenshot posting di sosmed dan review di google, whatsapp 0149137226 untuk claim gift anda.

🎁 50 like ke atas - Sample Pampers dari Beenies, Claim Pregnancy scan voucher RM5 + e-voucher  yg menarik.

🎁 100 like ke atas - Hadiah beg Bebee yang comel + Pregnancy scan voucher RM5 + e-voucher  yg menarik

🎁 500 like ke atas - Hadiah barangan bernilai RM89, Pregnancy scan voucher RM5 + e-voucher yg menarik

🎁50 like ke bawah / review google page - Claim e-voucher yg menarik!",Review Campaign,""
Bila tarikh akhir sertai posting review?,Terima kasih kerana berminat untuk sertai posting review. Tiada tarikh akhir untuk peraduan ini.,general,""
Boleh saya tahu kandungan saya dalam keadaan baik ke?,Sonographer akan maklum kepada puan ketika scan. Jika sonographer tidak memaklumkan sebarang masalah bermakna kandungan puan baik-baik sahaja.,general,""
Video degupan jantung tiada bunyi?,Tiada puan,general,""
"Bolehkah saya mendapatkan kepastian , adakah keputusan scanning saya semua okay?","Sekiranya semasa scanning di jalankan , sonographer tidak memberitahu apa-apa abnormal yang timbul atau apa-apa masalah untuk dirujuk kepada doktor. Ia bermaksud keputusan puan semua tiada masalah.",general,""
Repeat scan dapat softcopy?,"ya, dapat. Sono akan upload softcopy  anda ke aplikasi Flabee Care dalam tempoh 3–5 hari bekerja. Setelah siap, anda akan menerima e-mel atau notifikasi melalui aplikasi.

Sekiranya selepas tempoh tersebut anda masih belum menerimanya, sila WhatsApp 0149137226",general,""
hai saya nak buat aduan,"Sekiranya anda mempunyai sebarang maklum balas atau aduan, kami amat menghargai jika anda dapat kongsikannya melalui pautan berikut:

Contoh: 

https://sono-ultrasound.com/rating-form/?tele=+60123456789


https://sono-ultrasound.com/rating-form/?tele=+6

atau whatsapp 0182567226
Setiap pandangan anda sangat bernilai dalam usaha kami untuk menambah baik mutu perkhidmatan.
Terima kasih atas sokongan dan kepercayaan anda!
❤️",general,""
: Berapa usia kandungan untuk buat growth scan?,Growth scan boleh dibuat seawal usia 4 minggu hingga 40 minggu,general,""
boleh ke nak request sonographer perempuan?,sonographer di sonobee semua perempuan,general,""
boleh sy dapatkan softcopy scan ?,"Foto, video, dan laporan akan dimuat naik ke aplikasi Flabee anda dalam tempoh 3-5 hari bekerja. Anda dinasihatkan untuk memuat turun aplikasi Flabee bagi pengalaman yang lebih mudah dan selesa.Nombor pegawai bertugas 014-9137226",general,""
suami boleh teman masuk dlm bilik ultrasound ?,"ya,boleh",general,""
detail scan ada?,"di sonobee detail scan dikenali sebagai Anatomy scan.*2D FULL Anatomy Scan (20-24 minggu)*
Check kecacatan baby termasuk kira jari kaki dan tangan, tulang, organ dalaman, otak, muka, jantina, tulang belakang, tengok jantung berlubang, ketepatan setinggi 90% fizikal kecacatan baby boleh dikesan.Check juga saiz baby, placenta, air ketuban, kedudukan,berat dan jantina",general,""
nt scan sesuai usia kandungan berapa?,"Nuchal translucency scan (NT scan)* kita akan ukur ketebalan cecair di belakang leher janin/baby.
Ikut medical teori, janin/baby yang mempunyai keabnormalan genetik mempunyai lebihan cecair yang banyak. Jadi, kawasan belakang tengkuk baby akan jadi tebal.Ketebalan yang normal dlm kurang dari 3mm.NT yg nipis bukan bermaksud xde genetic abnormality. Cuma kebarangkaliannya kurang utk dpt genetic abnormality.Down’s Syndrome,Edward Syndrome & Patau Syndrome.*Sesuai 11w-13w6d sahaja dengan ketepatan 70%*",general,https://support.apple.com/en-gb/102632
.	Bolehkah scan mengesan masalah awal seperti kecacatan janin atau kandungan luar rahim?,-Ultrasound scan boleh digunakan untuk mengesan masalah awal seperti kecacatan janin serta kehamilan luar rahim. Scan ini membantu memantau perkembangan janin dan memastikan kesihatan rahim serta tiub fallopio,general,""
Adakah ultrasound selamat untuk ibu dan bayi jika dilakukan berulang kali?,"Ultrasound adalah prosedur yang selamat untuk ibu dan bayi walaupun dilakukan berulang kali, kerana ia menggunakan gelombang bunyi yang tidak melibatkan radiasi. Ia biasanya digunakan untuk memantau perkembangan janin secara berkala",General Ultrasound Queries,""
"Apakah persediaan yang perlu dibuat sebelum menjalani ultrasound, contohnya perlu minum air atau tidak?","Sebelum menjalani ultrasound, biasanya anda disarankan untuk minum air kosong dan menahan kencing selama kira-kira 1 jam supaya pundi kencing penuh. Ini membantu menghasilkan imej yang lebih jelas, terutamanya untuk ultrasound kehamilan awal",general,""
Kenapa nt scan tak boleh lebih dari 13 minggu 6 hari,Masa terbaik untuk menjalani imbasan NT adalah antara 11 hingga 13 minggu 6 hari kehamilan kerana pengukuran ketebalan nuchal translucency adalah paling tepat dalam tempoh ini,general,""
Kenapa check gender scan perlu 15 minggu ke atas ?,"Pakej gender scan yang dipaparkan adalah berdasarkan minggu kandungan ibu. Sistem kami hanya memaparkan pakej yang sesuai dengan usia kandungan yang dimasukkan semasa tempahan, sebab itu check gender scan perlu dilakukan selepas 15 hari atau lebih untuk memastikan ketepatan usia kandungan",general,""
Sonographer di sonobee lelaki atau perempuan ?,Semua Perempuan,general,""
kenapa perlu bayar untuk download aplikasi flabee,"Bayaran untuk memuat turun aplikasi Flabee menggunakan iPhone adalah disebabkan oleh polisi Apple App Store. Apple mengenakan caj tertentu untuk pembelian atau muat turun aplikasi berbayar serta perkhidmatan digital bagi pengguna iOS, dan bayaran ini ditetapkan sepenuhnya oleh Apple, bukan oleh pihak Flabee atau penyedia perkhidmatan.

Bayaran tersebut diuruskan melalui sistem Apple In-App Purchase, yang merangkumi kos keselamatan, sistem pembayaran, dan penyelenggaraan platform oleh Apple.

Untuk maklumat lanjut, puan boleh rujuk polisi rasmi Apple melalui pautan berikut:
https://support.apple.com/en-gb/102632",general,""
Nak tanya klu scan growth untuk 2d tu.. rm30 tu sekali dengan gambar scan ka?,"Ya hrga tu dah termasuk dengan softcopy gambr dan softcopy simple report. Jika puan nak print gambar, ada extra cas RM2-RM5/pcs",general,""
seminal vesicles tu ada check ke?,"Ada ambil gambar sahaja, tiada pemeriksaan dalaman. Kami lebih fokus kepada pemeriksaan prostat.",general,""
Anatomy screening same with details scan?,"Anatomy screening vs details scan
- https://sono-ultrasound.com/anatomy-screening-versus-detailed-scan-your-guide-to-mid-pregnancy-ultrasounds/

🔹 Anatomy Screening ialah pemeriksaan saringan asas untuk melihat struktur bayi secara keseluruhan dan memantau perkembangan mengikut usia kandungan.

Apa yang diperiksa:
• Struktur asas bayi (otak, jantung asas, tulang belakang, buah pinggang & anggota badan)
• Imbasan 2D 
• Dilakukan oleh sonographer wanita
• Tiada doktor & tiada diagnosis perubatan

📄 Laporan
• Machine-generated report
• Add-on: Formal report softcopy oleh sonographer – RM15
• Bukan laporan doktor pakar

⚠️ Penting untuk makluman:
Anatomy Screening bukan pengganti pemeriksaan doktor Pakar MFM.
Jika anda mempunyai kehamilan berisiko atau sebarang masalah kesihatan, kami mengesyorkan Detailed Scan dijalani oleh doktor pakar MFM.",general,""
"Hi, disini ada perkhidmatan buka buku pink ke?","Maaf Puan, tiada perkhidmatan buka buku pink di Sonobee.",general,""
"Soalan :
Hi, Boleh tahu waktu operasi sonobee?","Hi, waktu operasi di sonobee 9.30am-6.00pm",general,""
"Soalan :
Boleh tahu 5D scan, scan muka sahaja ke?","Jwpn:
5D scan : Growth scan + Gender + Scan muka baby",general,""
"Kalau kandungan baru 5weeks, ada nampak tak degupan jantung?",Biasanya start 11week,general,""
Sonographer sonobee yg buat anatomy scan ni di iktiraf ke? Semua expert scan ke?,Senior level scan ada mfm iktiraf exam,general,""
Selangor ade kt mane je,"Boleh refer website untuk lokasi available 🤗

Check available outlet: https://appointment.flabee.com/guest/outlets",general,""
Macam mana nak buat pakej Anatomy + 5D sekali sedangkan timing tak sama? Perlu buat asing ke?,"Ada juga pelanggan yang nak buat sekali. Kalau tidak, Boleh lakukan scan Anatomy terlebih dahulu, kemudian diikuti dengan scan 5D selepas itu",general,""
Pregnancy scan shj nak cek gender. Perlu full bladder juga ke?,Untuk trimester pertama sahaja perlu full bladder,general,""
"Kalau berat 94kg (BMI tinggi), boleh ke buat detail scan?","Boleh, tiada masalah untuk buat detail scan. Cuma mungkin sedikit mencabar kerana imej scan boleh jadi kurang jelas (blur sedikit) disebabkan faktor BMI yang tinggi. Namun, scan tetap boleh dilakukan.",general,""
"Jika ambil pakej 2d growth scan, boleh tahu berat baby dan jantina baby?",Ya boleh Puan.,general,""
"Hi, 2 hari lepas saya ada scan di sonobee, boleh saya tahu bila saya boleh dapatkan softcopy gambar scan saya?","Hi.. SOFTCOPY akan diupload dlm Flabee Care apps dlm masa 3 hingga 5 hari bekerja. Utk sebarang pertanyaan, 
Puan boleh call atau Whatsapp person in charge.
014-9137226 , Terima Kasih",general,""
"Hi, boleh tahu kalau nak cek baby ada spinal bifida nak ambik pakej yg mana ?","Hi Puan, Puan boleh ambil pakej Anatomy Screening ya.",general,""
Q: Adakah sonobee ada plan bayaran ansuran bulanan?,A: ya ada utk pakej harga minimum RM300.,general,""
nak buat bmd bone mineral density scan,Tiada,Recommendation,""
"Saya kurang jelas untuk pakej 5d scan, Kalau baca details 5d scan also for gender?","Pakej 5d scan untuk tengok facial muka baby, pakej ini termasuk free growth n gender scan. Biasanya untuk growth n gender sono guna 2d screen",general,""
Ada tak gender 5d screen scan under sonobee?,"Maaf puan, untuk pakej 5D scan hanya specific tgok bahagian muka sahaja. Tapi if baby beri kerjasama Sono boleh tunjuk gender in 5d screen , kalau tak okay in 2d screen sahaja",general,""
"Saya dah buat detail scan dan 5D scan di Sonobee, tapi terlupa nak bagi borang insurans untuk ditandatangani. Boleh ke saya datang walk-in untuk minta sonographer sign?","Maaf ya, sonographer tidak dibenarkan untuk menandatangani borang insurans. Hanya doktor O&G sahaja yang boleh sign borang tersebut. Anda disarankan untuk rujuk doktor O&G bagi tujuan tandatangan.",general,""
"Soalan:
Hi, untuk NT scan, kira ikut weeks baby growth atau ikut LMP ya?","Untuk NT scan, ia adalah berdasarkan weeks baby (pertumbuhan bayi), bukan semata-mata ikut LMP. Biasanya scan dilakukan dalam range tertentu mengikut saiz dan perkembangan baby untuk dapatkan bacaan yang tepat.",general,""
"Kalau nak scan testis, nak ambil pakej yg mana?",Boleh ambil pakej Scrotum Scan.,general,""
"Kalau scan selepas keguguran, perlu ambil pakej apa ya?","Jika hanya ingin melihat sama ada masih ada kantung atau tidak, boleh ambil pakej 2D Growth Scan.
Namun, jika ingin periksa keadaan rahim dan ovari dengan lebih terperinci, disarankan ambil pakej Lower Abdomen (Women).",General Ultrasound Queries,""
ada buat Ultrasound  untuk veins ke ya ?,Maaf tiada,General Ultrasound Queries,""
"Hi, saya nak tanya scan untuk perut (bukan pregnant). Perut saya nampak besar macam orang mengandung. Scan apa yang sesuai ya?","Untuk kes macam ni, kami biasanya sarankan buat upper abdomen scan atau lower abdomen scan.",General Ultrasound Queries,""
Sonobee ada buat ultrasound scan untuk soft tissue injury di kawasan lower hip / buttock tak?,"Ya, ada. Untuk kawasan tersebut, boleh pilih pakej small part ultrasound scan.",General Ultrasound Queries,""
21 minggu overweight boleh datang bt detail scan tak?,ya. boleh,general,""
Adakah appointment saya termasuk imbasan Doppler untuk mengukur arteri uterine?,tiada,General Ultrasound Queries,""
"Boleh buat ultrasound untuk periksa luka pembedahan apendiks?
.","Ultrasound boleh digunakan untuk scan kawasan tersebut dan mengesan masalah seperti bengkak (contohnya appendicitis). Namun, untuk luka pembedahan apendiks itu sendiri, ultrasound tidak dapat menilai keadaan luka dengan jelas.",General Ultrasound Queries,""
Boleh ke saya buat scan untuk tengok kedudukan IUCD di sini?,"Ya, boleh. Untuk periksa kedudukan IUCD, anda boleh ambil scan jenis Gynae Uterus bagi melihat kedudukan dalam rahim dengan jelas.",general,""
Untuk 2D growth tu dah termasuk dgn gender ke?,"Ya, pakej 2D growth scan akan dapat free gender scan.",general,""
ada tak buat echocardiogram di klinik tuan/puan,Ada,general,""
Adakah Sonobee Ultrasound menyediakan pemeriksaan Hysterosalpingography (HSG X-ray)?,"Buat masa ini, Sonobee Ultrasound tidak menyediakan perkhidmatan Hysterosalpingography (HSG X-ray). Namun, kami ada menyediakan perkhidmatan X-ray biasa (normal X-ray).",general,""
"Saya berminat dengan pakej baby spa, lokasi di mana ya?","Untuk pakej baby spa, lokasi kami adalah di Setiawangsa, Seri Kembangan/Balakong, dan Subang Bestari.
Untuk maklumat lanjut atau tempahan, anda boleh WhatsApp team Flabee di +60 11-3147 7226 😊",general,""
Saya nak refund sebab kecewa. Saya tunggu hampir 1 jam,"Kami mohon maaf atas kesulitan yang dialami. Untuk makluman, pihak kami tidak dapat memproses refund bagi situasi ini dan kami memohon agar pelanggan merujuk kepada polisi syarikat kami.
Masa menunggu adalah dianggarkan sekitar 30 hingga 60 minit daripada waktu temujanji yang dijadualkan, bergantung kepada ketersediaan dan pesakit yang hadir lebih awal. Kami amat menghargai kesabaran anda dan akan memberikan layanan secepat mungkin apabila giliran anda tiba.",general,""
"Hi, saya mengalami bengkak di bahagian abdomen (left flank) selepas terjatuh dan ada kecederaan pada tangan kiri (suspected biceps tendon injury). Adakah pihak Sonobee menyediakan scan untuk keadaan seperti ini?","Terima kasih atas pertanyaan. Untuk makluman, buat masa ini pihak kami tidak menyediakan pemeriksaan scan bagi kes kecederaan selepas jatuh atau kecederaan tendon. Kami sarankan anda mendapatkan pemeriksaan lanjut di klinik atau hospital berhampiran untuk penilaian dan rawatan yang lebih sesuai.",general,""
Ada ct scan?,Tiada,general,""
"Hi, adakah pihak Sonobee menyediakan ultrasound kaki (vascular) untuk pesakit di area Puncak Alam?","Terima kasih atas pertanyaan. Untuk makluman, buat masa ini pihak kami tidak menyediakan ultrasound vascular bagi bahagian kaki. Kami mohon maaf atas segala kesulitan.",general,""
"Saya mengalami sakit dan ketidakselesaan pada bahagian lutut sejak beberapa bulan, terutama ketika naik tangga. Boleh ke buat ultrasound lutut tanpa surat doktor?","Buat masa ini, kami tiada menyediakan perkhidmatan ultrasound untuk pemeriksaan lutut. Terima kasih atas pertanyaan anda.",general,""
"Adakah Sonobee menyediakan prostate scan sahaja, atau perlu ambil pakej bersama KUB","Untuk pemeriksaan prostat, kami sarankan mengambil scan KUB (Kidney, Ureter, Bladder) atau lower abdomen, kerana penilaian prostat biasanya termasuk kawasan berkaitan untuk pemeriksaan yang lebih menyeluruh.",general,""
hi nak tanya haritu saya ada buat upt test double line then tiba tiba saya keluar darah period,"kalau darah sikit boleh, tetapi kalau darah banyak kena refer hospital",general,""
Ada scan bahu,Tiada,general,""
Ada test APLS,Tiada,general,""
"Sy tngah pregnant 22w, ada bengkak kat ketiak kiri kanan","boleh,book breast ultrasound",general,""
Nak tanya nk ultrasound testis untuk tahu variccole & radang boleh ke dekat sini?,boleh,general,""
"Hi, adakah servis echocardiogram (echo) ada di sini dan berapa harganya?","Buat masa ini, kami tiada menyediakan perkhidmatan echocardiogram (echo). Terima kasih",general,""
"Hi, boleh buat ultrasound scan untuk bawah mata (under eye) untuk check sama ada masih ada filler atau ketulan?","Ya, boleh. Kami ada menyediakan Ocular Package di Sonobee untuk pemeriksaan kawasan bawah mata",general,""
"Jika saya ingin buat pemeriksaan untuk masalah hati (liver impairment), scan apa yang sesuai?","Untuk pemeriksaan berkaitan hati (liver impairment), boleh buat Upper Abdomen Ultrasound",general,""
Adakah Sonobee menyediakan ultrasound scan untuk tendon Achilles?,"Ya, kami ada menyediakan ultrasound scan untuk Achilles tendon bagi melihat keadaan tendon. Namun, untuk scan ini tiada laporan (report) disediakan ya. Boleh hubungi customer service untuk semakan slot dan cawangan 😊",general,""
"Hi, Twin mcda boleh scan ke?",Boleh,general,""
kalau untuk scan knee nak ambil pakej mana ya? Sebab tak ada dalam listing booking,"Hi Untuk scan knee, puan boleh terus contact customer service kami untuk bantuan booking ya kerana pakej tersebut tidak tersedia dalam listing apps  📞 Customer Service Ultrasound  

1️⃣ 014-3577226  
(Kangar, Penang, Kedah, Kelantan, Perak, Terengganu)  

2️⃣ 018-9092933  
(Kuala Lumpur, Selangor)  

3️⃣ 014-9317226  
(Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang)",general,""
MSK scan tangan area Cyberjaya ada ke?,"Hi 😊 Untuk MSK scan tangan, boleh booking di HQ Seri Kembangan ya. Available pada hari Sabtu atau Ahad, jam 9.30 pagi hingga 3.00 petang 😊",general,""
Would abdominal fat reduce the clearness of the scan for both scans?,"Yes . Abdominal fat may reduce the clearness of the scan because the sound waves can be reflected when penetrating the abdominal fat tissue.

To help improve the scan clarity, patient may come with a full bladder or consider doing a TVS scan if needed",general,""
"Adakah Anatomy Scan termasuk pemeriksaan Fetal Cranium (NB, NF & Lat Vent), AFI (MVP) dan fetal heart rate (HR)?","Ya puan Semua pemeriksaan seperti Fetal Cranium (NB, NF & Lat Vent), AFI (MVP) dan fetal heart rate (HR) memang termasuk dalam Anatomy Scan.",general,""
